ts_utc,open,high,low,close,volume
2026-05-07T23:30:00Z,1455.6200,1455.6200,1455.6200,1455.6200,0
2026-05-08T00:00:00Z,1455.6200,1463.1801,1455.6200,1461.8199,0
2026-05-08T00:30:00Z,1461.8800,1465.1801,1461.4200,1464.7800,0
2026-05-08T01:00:00Z,1464.9800,1464.9800,1461.9800,1463.4800,0
2026-05-08T01:30:00Z,1463.5800,1464.4800,1462.9800,1463.5800,0
2026-05-08T02:00:00Z,1463.5200,1465.1801,1462.8800,1464.7800,0
2026-05-08T02:30:00Z,1464.7400,1466.1100,1463.1899,1464.8800,0
2026-05-08T03:00:00Z,1464.6801,1465.1801,1463.2200,1464.0800,0
2026-05-08T03:30:00Z,1464.0800,1465.7800,1463.7500,1465.0800,0
2026-05-08T04:00:00Z,1465.1801,1467.8700,1464.6500,1466.5500,0
2026-05-08T04:30:00Z,1466.6801,1468.5800,1466.4600,1467.5800,0
2026-05-08T05:00:00Z,1467.5800,1467.6000,1465.5699,1466.1801,0
2026-05-08T05:30:00Z,1466.1801,1468.7800,1465.6400,1468.4800,0
2026-05-08T06:00:00Z,1468.4800,1470.8800,1467.3900,1470.8800,0
2026-05-08T06:30:00Z,1471.0800,1471.3800,1467.5800,1469.0800,0
2026-05-08T07:00:00Z,1468.6801,1469.9100,1467.0800,1468.7300,0
2026-05-08T07:30:00Z,1468.9800,1469.2300,1466.3800,1468.0200,0
2026-05-08T08:00:00Z,1468.2800,1470.3000,1465.9800,1467.3700,0
2026-05-08T08:30:00Z,1467.2800,1467.6100,1465.3800,1466.6801,0
2026-05-08T09:00:00Z,1466.5800,1466.7700,1464.2800,1464.7800,0
2026-05-08T09:30:00Z,1465.1300,1468.7800,1464.7800,1467.5900,0
2026-05-08T10:00:00Z,1467.6000,1468.3800,1465.8800,1467.0800,0
2026-05-08T10:30:00Z,1467.0601,1467.3400,1465.5800,1466.6801,0
2026-05-08T11:00:00Z,1466.2000,1466.7900,1464.2800,1465.7300,0
2026-05-08T11:30:00Z,1465.7500,1467.3800,1465.4800,1466.3600,0
2026-05-08T12:00:00Z,1466.3101,1466.9100,1465.0800,1466.5100,0
2026-05-08T12:30:00Z,1466.5900,1466.7800,1461.7200,1463.4000,0
2026-05-08T13:00:00Z,1463.4200,1465.1801,1461.6200,1461.6200,0
2026-05-08T13:30:00Z,1462.9800,1463.6801,1461.0400,1462.4800,0
2026-05-08T14:00:00Z,1462.4600,1464.9800,1461.1801,1464.1300,0
2026-05-08T14:30:00Z,1463.8400,1464.7800,1461.3800,1461.8800,0
2026-05-08T15:00:00Z,1461.9800,1462.5300,1459.1400,1461.2400,0
2026-05-08T15:30:00Z,1461.5300,1461.5300,1459.4200,1460.9700,0
2026-05-08T16:00:00Z,1461.1200,1462.0601,1459.4500,1459.4500,0
2026-05-08T16:30:00Z,1461.0000,1461.4301,1459.1801,1461.4301,0
2026-05-08T17:00:00Z,1461.4399,1461.6801,1460.1200,1460.9399,0
2026-05-08T17:30:00Z,1461.4800,1461.9200,1460.9900,1461.7100,0
